institution_id,institution_display_name,institution_type,institution_country_code,simplified_institution_category,target_firm_label
I4210146077,China National Institute of Standardization,facility,CN,research_institute,Other
I1325899441,University Health Network,healthcare,CA,healthcare,Other
I2802654988,Princess Margaret Cancer Centre,healthcare,CA,healthcare,Other
I4210147079,Institute for Clinical Evaluative Sciences,nonprofit,CA,nonprofit,Other
I4210098034,Key Laboratory of Guangdong Province,facility,CN,research_institute,Other
I4210156785,Secretaria Municipal de Cultura,government,BR,government,Other
I4210089783,Shanghai Medical Information Center,other,CN,unknown,Other
I60158472,Concordia University,education,CA,education,Other
I46247651,University of Manitoba,education,CA,education,Other
I1341030882,Educational Testing Service,nonprofit,US,nonprofit,Other
I4210164166,Finnish Medical Society Duodecim,nonprofit,FI,nonprofit,Other
I1293309919,National Board of Medical Examiners,nonprofit,US,nonprofit,Other
I4210142479,Campo Arqueologico de Mertola,nonprofit,PT,nonprofit,Other
I120250893,New York University Abu Dhabi,education,AE,education,Other
I4210147126,Liquidia Technologies (United States),company,US,company,Other
I4210089985,Amazon (Germany),company,DE,company,Amazon
I530967,Toronto Metropolitan University,education,CA,education,Other
I84524832,Alexandria University,education,EG,education,Other
I2800921988,Institut Pasteur de Lille,facility,FR,research_institute,Other
I3018718406,Centre Hospitalier Universitaire de Lille,funder,FR,unknown,Other
I4210131356,Centre Oscar Lambret,healthcare,FR,healthcare,Other
I4210098046,Centre de Recherche Jean Pierre Aubert,facility,FR,research_institute,Other
I27357992,Dalian University of Technology,education,CN,education,Other
I4210097409,SingHealth Duke-NUS Academic Medical Centre,healthcare,SG,healthcare,Other
I4210146998,MOH Holdings,healthcare,SG,healthcare,Other
I4210167034,Millennium Institute for Integrative Biology,other,CL,unknown,Other
I69737025,University of Chile,education,CL,education,Other
I4210101898,GESIS - Leibniz Institute for the Social Sciences,facility,DE,research_institute,Other
I150744194,Waseda University,education,JP,education,Other
I4210128921,"The First Affiliated Hospital, Sun Yat-sen University",healthcare,CN,healthcare,Other
I100191712,Pepperdine University,education,US,education,Other
I4210105615,Central Institute of Mental Health,healthcare,DE,healthcare,Other
I115475287,Oklahoma State University,education,US,education,Other
I891191580,Aalborg University,education,DK,education,Other
I51226738,Dong-A University,education,KR,education,Other
I8991828,Pukyong National University,education,KR,education,Other
I4210134763,Thrombosis Research Institute,nonprofit,IN,nonprofit,Other
I4210112164,Complexity Science Hub,nonprofit,AT,nonprofit,Other
I4210113124,Human Factors (Norway),company,NO,company,Other
I106826634,Jain University,education,IN,education,Other
I4210092658,Harvard–MIT Division of Health Sciences and Technology,education,US,education,Other
I4210112253,Honda (Germany),company,DE,company,Other
I4210144482,Shanghai Sixth People's Hospital,healthcare,CN,healthcare,Other
I4210106442,Asia Diabetes Foundation,nonprofit,CN,nonprofit,Other
I33849332,University of Malaya,education,MY,education,Other
I4210116869,Affiliated Hospital of Qingdao University,healthcare,CN,healthcare,Other
I108688024,Qingdao University,education,CN,education,Other
I4210124134,Mills Peninsula Health Services,nonprofit,US,nonprofit,Other
I39555362,University of Warwick,education,GB,education,Other
I4210166406,Quantum Technologies (Sweden),company,SE,company,Other
I63601056,Menoufia University,education,EG,education,Other
I82497590,Auburn University,education,US,education,Other
I4210118629,NARI Group (China),facility,CN,research_institute,Other
I4210127693,Penn Center for AIDS Research,facility,US,research_institute,Other
I4210143392,University of Pennsylvania Health System,healthcare,US,healthcare,Other
I4210111959,Shanghai Advanced Research Institute,facility,CN,research_institute,Other
I4210117825,Beijing Research Institute of Mechanical and Electrical Technology,facility,CN,research_institute,Other
I4210087373,Meizu (China),company,CN,company,Other
I4210089242,Düsseldorf University Hospital,healthcare,DE,healthcare,Other
I4210139747,Virginia Hospital Center,healthcare,US,healthcare,Other
I5716644,Carilion Clinic,funder,US,unknown,Other
I2800015068,VA NY Harbor Healthcare System,healthcare,US,healthcare,Other
I4210144725,Ministry of Culture,government,BR,government,Other
I4210096640,Royal Brompton Hospital,healthcare,GB,healthcare,Other
I4210101049,Lung Institute,healthcare,US,healthcare,Other
I204823248,Huazhong Agricultural University,education,CN,education,Other
I4210090512,Guangzhou Experimental Station,facility,CN,research_institute,Other
I92039509,Guangzhou Medical University,education,CN,education,Other
I154093214,Xinjiang Medical University,education,CN,education,Other
I2802734952,First Affiliated Hospital of Xinjiang Medical University,healthcare,CN,healthcare,Other
I4210089761,West China Hospital of Sichuan University,healthcare,CN,healthcare,Other
I4210089514,National Clinical Research Center for Digestive Diseases,healthcare,CN,healthcare,Other
I4210158926,Xijing Hospital,healthcare,CN,healthcare,Other
I9916479,Air Force Medical University,education,CN,education,Other
I193700539,Tilburg University,education,NL,education,Other
I4210129459,The Affiliated Yongchuan Hospital of Chongqing Medical University,healthcare,CN,healthcare,Other
I87780372,Chongqing Medical University,education,CN,education,Other
I34574549,National Taichung University of Education,education,TW,education,Other
I146620803,Wenzhou University,education,CN,education,Other
I39063666,University of Catania,education,IT,education,Other
I45084792,University of Florence,education,IT,education,Other
I1292859797,Montreal Neurological Institute and Hospital,healthcare,CA,healthcare,Other
I4210164802,Mila - Quebec Artificial Intelligence Institute,facility,CA,research_institute,Other
I2799419483,Applied Minds (United States),company,US,company,Other
I865166595,George Washington University Virginia Campus,education,US,education,Other
I165831266,Nirma University,education,IN,education,Other
I2799452066,Maharaja Engineering College,education,IN,education,Other
I158708052,Chulalongkorn University,education,TH,education,Other
I56306041,Lebanese American University,education,LB,education,Other
I60054993,Graphic Era University,education,IN,education,Other
I74319210,Chitkara University,education,IN,education,Other
I91633459,Middle East University,education,JO,education,Other
I1282070171,Office of Education,funder,US,unknown,Other
I74413500,University of Windsor,education,CA,education,Other
